"","","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25"
"21",21,-0.752622557304204,-1.17213774045666,0.723225412409,0.712177456985168,0.722616654214342,-0.623204699397451,-0.584593050064659,-0.270733272508658,0.361242172129932,-0.926549117720351,-0.387988356737623,-0.740941741984794,0.94438155922707,0.853491169374199,0.04985700000178,1.8083273354305,-0.429070842811315,0.229130796553741,-0.861346978124662,-0.73489502592476,-1.28351776309662,0.642541992455601,-0.271120062478028,0.423175394405271,-0.291434874061377
"22",22,-0.503459881567753,1.58967856920415,-0.311556257989287,2.24260295028401,-1.08243015200979,-1.47405680288212,-0.640902898100375,0.680017660924981,1.59247641550626,-0.409626103844851,-0.239064640074256,0.419577517956114,0.449670764626911,0.208672070905534,1.28790572164598,0.470664399490922,1.08469729099899,0.467852017366326,2.55615783845738,-0.674551740011139,-0.6385168892592,-0.108933768107526,0.375744029269076,-0.0540144506049143,-0.194137182766485
"23",23,-0.911580314230476,-1.64282891481259,-2.80123052550608,-1.54201023702779,0.853981289250546,0.32677500959591,-1.78532525611811,-0.999553315246154,0.452309995917021,-1.09907260136672,1.5310595034335,-0.101800128894202,-0.506647609550177,-0.36510854504351,-0.670911420976735,-0.414253197042774,0.765739757033352,-0.08790988040292,0.293888003179568,0.415853602840006,-0.0755597055664864,-0.437832482770638,-1.30695232046087,-0.436691462051315,-0.184315572101637
"24",24,0.418500648234065,-0.451954402488288,1.14898847404413,-0.314883779931313,-0.266691239836931,-0.621524588551791,-0.709099458033994,-0.792580615256843,-0.249882915010265,-1.0052169058534,1.38626890837461,0.0559913213662514,0.983605476255626,-0.627310606165978,1.79661953057325,1.33629313847828,-0.536375283348319,0.000915476912895969,-0.00591301600607658,0.373602040795231,-0.57376234135668,0.0360405801713767,0.7902349250709,-0.0904819538512027,1.18460969007616
"25",25,0.966158770144706,-0.609367414338059,0.296795506084276,0.216665728804661,-1.68883220392199,0.530667950767452,-0.353468537457402,0.309047760461165,0.490225569848212,0.625390837189526,2.31516776848313,-0.88602075438546,-0.549965436231497,-1.54194757238556,-0.62006105764487,-0.303005137058809,1.79464298165525,-0.600218262031352,-1.1882400572542,0.405610750744591,-0.366683029282964,0.113278996242025,1.42742276948683,1.0338086065179,-0.420949293452961
"26",26,-0.259605141822864,0.868988306875134,3.09963173917122,0.245294788967777,-3.19257571891055,-0.0696464921086961,-1.37249795732667,0.300960753442781,2.29334727968871,0.756934137851486,1.63831299248074,1.11238535290393,-0.12880938863452,1.29986676974922,-0.799343086249203,2.04761535271857,0.754981561145476,-0.947442106517105,-0.702423170295654,-0.0148415423863164,-0.991086556408683,1.79786414315265,1.03426143541498,1.75052665919837,0.210452972330053
"27",27,-0.530655812857039,0.136159208065342,-1.29554663206942,0.0879813481457144,-0.610128413078547,-1.54667980246541,0.950286262394872,2.49249750407899,0.34223786251524,0.222136586356236,-0.254532305186665,0.810164679835002,-0.743292322172636,0.370718500602843,0.100262563684126,0.687412896275727,-1.02004567135638,-0.696172558344156,-0.363622433307525,1.02669719880737,-1.68271633414649,-0.656803692047446,0.62098146790896,-0.22107877404337,0.0525839008760724
"28",28,1.43720889759852,-2.9076149205004,0.668485180343316,0.397566988950313,-1.19961722452192,-1.23641060628163,0.530000528937401,-1.5480378433936,-0.783930016036441,2.68321303396846,0.894438611042534,0.995766265514823,-0.362718727193502,-0.857268231750343,1.57475553250467,-0.828986070649034,-1.43674361305271,-0.0158542932942382,-0.593526716380194,-2.12029050801331,0.199652452925763,-0.0244456447779104,-0.547974094302702,-1.2549270998284,-0.562136861183025
"29",29,2.38859114263739,1.06773696904166,1.34208313965027,-0.250026775107819,-0.66737378820294,0.543550055542208,-0.0609908759779791,-0.217675511276024,0.0686093481240837,-0.710106241793776,-2.20041324211834,0.977040619992023,1.0850211480864,0.913939337193491,-0.129782925323675,0.145081497914464,0.264365631103445,1.4905338429566,-0.112953714821278,1.53275060813601,-0.149137083932844,-1.54564415432856,0.549282510182682,-0.247573562817536,-0.775190498649802
"30",30,1.32423857362942,0.416393802601697,0.309709022041888,-1.92443935381331,1.22684471878714,-1.50100425222375,0.946405706086835,-0.920092157795088,0.696536629410928,0.230213505438229,0.919223538526497,-0.452017905222264,-0.266161123620633,0.118000026071347,0.301001860861715,0.561336136579336,-1.09610497059574,-0.123167034591924,-1.54554944137951,0.523851724575465,-0.732892579335266,1.34194665595075,0.576121745732821,0.35945441042413,0.0951691391152933
